Semana,Agencia_ID,Canal_ID,Ruta_SAK,Cliente_ID,Producto_ID,Venta_uni_hoy,Venta_hoy,Dev_uni_proxima,Dev_proxima,Demanda_uni_equil
5,1315,1,1061,7701303,4,1,21.32,0,0,1
6,1337,1,2118,1233931,3,3,18.75,0,0,3
9,3212,1,1022,1585190,4,1,13.96,0,0,1
8,1111,1,1022,20364,4,1,13.96,0,0,1
6,2034,1,4406,253364,3,2,16.3,0,0,2
3,1237,1,1203,736146,3,3,22.92,0,0,3
7,2044,1,1110,249266,3,8,67.04,0,0,8
9,2038,1,1216,2249031,1,2,19.2,0,0,2
3,1218,1,1214,4339499,1,1,8.89,0,0,1
7,1239,1,4504,219210,2,6,31.68,0,0,6
3,1459,1,1214,361005,3,4,33.52,0,0,4
8,1120,1,1056,173625,4,1,19.94,0,0,1
6,1152,4,6615,97436,4,2,34.04,0,0,2
9,1112,1,1007,331567,1,9,80.28,0,0,9
5,22090,1,1006,4433162,1,3,28.8,0,0,3
6,1130,1,1421,435598,4,1,18.24,0,0,1
4,1911,1,1061,103298,4,2,42.64,0,0,2
9,1120,1,1454,174665,2,13,97.5,0,0,13
8,1620,1,2818,926741,2,7,43.75,0,0,7
9,1330,1,2852,909721,2,2,15.18,0,0,2
4,1545,1,1212,520949,2,4,18,0,0,4
7,2264,1,1228,1085422,4,2,33.34,0,0,2
7,2024,1,1208,4500036,2,3,22.5,0,0,3
7,1138,1,1103,2485047,3,6,40.56,0,0,6
3,1312,1,1208,2306423,2,10,45,0,0,10
8,1218,1,2110,16420,2,10,62.5,0,0,10
9,1337,1,1022,4743333,4,1,13.94,0,0,1
9,1614,1,1233,2461794,2,4,18,4,18,0
5,2263,1,1025,9765876,4,4,59.04,0,0,4
9,1544,1,1238,4753063,2,2,16.76,0,0,2
8,22414,1,1110,87061,4,2,15.28,0,0,2
8,1473,4,4706,4573191,2,22,185.24,0,0,22
8,1545,1,2001,829373,3,3,15.57,0,0,3
9,1243,1,1013,5905,4,1,18.86,0,0,1
6,2032,1,1264,244222,1,2,35.2,0,0,2
3,1348,1,2803,4294431,1,1,9.99,0,0,1
7,1215,1,1422,4566906,2,41,184.5,0,0,41
3,4046,1,5014,32038,3,5,18.5,0,0,5
